"ID_FIRM","P1110_B","P1110_E","P1120_B","P1120_E","P1130_B","P1130_E","P1140_B","P1140_E","P1150_B","P1150_E","P1160_B","P1160_E","P1170_B","P1170_E","P1180_B","P1180_E","P1190_B","P1190_E","P1100_B","P1100_E","P1210_B","P1210_E","P1220_B","P1220_E","P1230_B","P1230_E","P1240_B","P1240_E","P1250_B","P1250_E","P1260_B","P1260_E","P1200_B","P1200_E","P1600_B","P1600_E","P1310_B","P1310_E","P1320_B","P1320_E","P1340_B","P1340_E","P1350_B","P1350_E","P1360_B","P1360_E","P1370_B","P1370_E","P1300_B","P1300_E","P1410_B","P1410_E","P1420_B","P1420_E","P1430_B","P1430_E","P1450_B","P1450_E","P1400_B","P1400_E","P1510_B","P1510_E","P1520_B","P1520_E","P1530_B","P1530_E","P1540_B","P1540_E","P1550_B","P1550_E","P1500_B","P1500_E","P1700_B","P1700_E","P2110_B","P2110_E","P2120_B","P2120_E","P2100_B","P2100_E","P2210_B","P2210_E","P2220_B","P2220_E","P2200_B","P2200_E","P2310_B","P2310_E","P2320_B","P2320_E","P2330_B","P2330_E","P2340_B","P2340_E","P2350_B","P2350_E","P2300_B","P2300_E","P2410_B","P2410_E","P2421_B","P2421_E","P2430_B","P2430_E","P2450_B","P2450_E","P2460_B","P2460_E","P2400_B","P2400_E","BANKR"
30,0,0,0,0,0,0,0,0,811,783,0,0,0,0,2362,2211,0,0,3173,2994,2379,1572,0,0,4254,4740,0,0,48,2670,93,57,6774,9039,9947,12033,306,306,0,0,2610,2610,0,0,16,16,-11165,-10636,-8233,-7704,0,0,0,0,0,0,0,0,0,0,426,426,16474,17958,0,0,1485,1357,0,0,18385,19741,10152,12037,31980,33569,26403,26271,5577,7298,2,0,9826,5147,-4251,2151,0,0,0,0,0,0,2845,189,12718,1161,-14124,1179,0,153,-2478,84,1,0,370,146,233,0,-13988,1172,0
31,0,0,0,0,0,0,0,0,109678,105481,0,0,0,0,415,454,0,0,110093,105935,5214,19954,20,10,55025,31749,3063,16204,4872,2951,0,0,68194,70868,178287,176803,46,6264,0,0,5849,0,0,0,7,0,153319,155175,159221,161439,0,0,854,836,0,0,0,0,854,836,0,0,14884,16435,0,0,1306,1533,0,0,16190,17968,176265,180243,110477,99750,50252,42872,60225,56878,0,0,22843,24991,37382,31887,0,0,2548,1345,0,0,17885,522,12418,5885,45397,27869,9341,5948,-446,-960,14,30,11,15,0,0,36053,21906,0
32,0,0,0,0,0,0,0,0,179049,157041,46381,46381,0,0,86852,87044,0,0,312282,290466,52903,37046,0,3,98790,184065,0,0,117,0,61822,248,213632,221362,525914,511828,737,737,0,0,0,0,0,0,0,0,13614,13509,14351,14246,381696,381696,0,0,0,0,0,0,381696,381696,0,0,123562,105290,0,0,0,0,0,0,123562,105290,519609,501232,198148,91246,238636,86230,-40488,5016,0,0,160,1360,-40648,3656,0,0,0,0,0,0,22391,42,2101,0,-20358,3698,0,1,0,0,550,0,911,0,3,0,-20000,3697,0
33,109,290,0,0,0,0,0,0,28563,28785,0,0,0,0,86,0,0,0,28758,29075,171385,154801,2551,772,79568,67670,0,0,657,3504,656,838,254817,227585,283575,256660,50552,50552,0,0,1923,1923,0,0,0,380,9543,17899,62018,70754,84663,78507,2371,2448,0,0,0,0,87034,80955,25670,9642,108048,98123,0,0,0,1134,0,109,133718,109008,282770,260717,629883,584321,443795,410227,186088,174094,90433,94442,35371,39557,60284,40095,0,0,0,0,11528,12968,169263,276741,195540,282851,22479,21017,2934,2747,2292,577,17,115,1570,86,0,0,21098,18241,0
34,0,0,0,0,0,0,0,0,19757,18045,0,0,10,10,1430,1474,0,0,21197,19529,12148,10914,0,0,18188,8762,0,0,8,130,664,364,31008,20170,52205,39699,539,539,0,0,2075,2075,0,0,260,260,25993,22181,28867,25055,4880,2448,841,853,0,0,3174,1509,8895,4810,0,0,14558,9103,0,0,0,0,0,0,14558,9103,52320,38968,80370,82897,75454,81565,4916,1332,2921,2160,0,0,1995,-828,0,0,0,0,779,580,1918,3818,6301,7375,-3167,-4965,562,442,-989,-940,48,8,5,7,0,0,-3772,-5408,0
35,0,0,0,0,0,0,0,0,16019,14624,0,0,0,0,213,175,0,0,16232,14799,26260,26828,0,0,6995,12265,0,0,4321,6360,85,49,37661,45502,53893,60301,6,6,0,0,11748,11748,0,0,0,0,24512,35162,36266,46916,1222,0,120,118,0,0,0,0,1342,118,0,0,16713,12179,0,0,1018,839,0,0,17731,13018,55339,60052,100616,112720,77237,95252,23379,17468,2922,4163,11340,5360,9117,7945,0,0,0,0,407,139,5780,7694,5951,5388,8539,10112,2006,2986,-335,-103,45,2,70,38,364,173,6194,6989,0
36,2,0,0,0,0,0,0,0,48225,42961,0,0,151,0,0,0,0,0,48378,42961,31385,25679,159,160,58379,60282,0,0,16,10857,7287,7064,97226,104042,145604,147003,4172,4172,0,0,0,0,11544,11544,207,207,-1292,-9289,14631,6634,50172,48481,0,0,0,0,0,0,50172,48481,0,0,79583,92433,0,0,912,912,0,0,80495,93345,145298,148460,9487,9491,34737,13975,-25250,-4484,0,0,0,0,-25250,-4484,0,0,0,0,0,0,11447,4563,5439,3097,-19242,-3018,0,0,0,0,0,0,0,0,0,0,-19242,-3018,0
37,0,0,0,0,0,0,0,0,185,185,0,0,0,0,43,43,0,0,228,228,10400,5566,0,0,3913,6621,0,0,32,0,0,0,14345,12187,14573,12415,8,8,0,0,0,0,0,0,0,0,-4623,-5100,-4615,-5092,3474,3756,0,0,0,0,518,518,3992,4274,116,703,15257,12399,0,0,0,0,0,0,15373,13102,14750,12284,12021,2307,13365,3016,-1344,-709,0,0,0,0,-1344,-709,0,0,0,0,0,0,6,0,6,0,-1344,-709,0,0,0,0,0,0,0,0,0,0,-1344,-709,0
38,0,0,0,0,0,0,0,0,26281,24701,0,0,10,0,2967,3341,0,0,29258,28042,95358,83900,3261,693,186075,72358,25533,3346,210,2838,288,301,310725,163436,339983,191478,5,5,0,0,5707,5707,0,0,1,1,19689,15873,25402,21586,40413,69852,4466,6018,0,0,55375,54545,100254,130415,40384,13215,164106,26442,0,0,3280,1791,0,0,207770,41448,333426,193449,511037,385147,398948,345817,112089,39330,85375,51694,0,0,26714,-12364,0,0,160,321,27169,17377,55776,44617,70564,16795,-15083,-1598,0,295,-729,-2124,617,1606,2116,267,0,0,-13584,-3232,0
39,0,0,0,0,0,0,0,0,20812,19394,0,0,0,0,15065,14330,0,0,35877,33724,42770,37064,0,0,3112,2988,0,0,2,5,139,65,46023,40122,81900,73846,6,6,0,0,22622,22622,0,0,0,0,-61798,-58234,-39170,-35606,54990,54990,2616,2353,0,0,0,0,57606,57343,0,0,63007,51239,0,0,135,168,0,0,63142,51407,81578,73144,102569,122566,109789,117067,-7220,5499,0,0,0,0,-7220,5499,0,0,0,0,0,0,1377,701,3614,4001,-9457,2199,0,864,-208,569,381,334,808,908,0,0,-9030,1909,0
