"ID_FIRM","P1110_B","P1110_E","P1120_B","P1120_E","P1130_B","P1130_E","P1140_B","P1140_E","P1150_B","P1150_E","P1160_B","P1160_E","P1170_B","P1170_E","P1180_B","P1180_E","P1190_B","P1190_E","P1100_B","P1100_E","P1210_B","P1210_E","P1220_B","P1220_E","P1230_B","P1230_E","P1240_B","P1240_E","P1250_B","P1250_E","P1260_B","P1260_E","P1200_B","P1200_E","P1600_B","P1600_E","P1310_B","P1310_E","P1320_B","P1320_E","P1340_B","P1340_E","P1350_B","P1350_E","P1360_B","P1360_E","P1370_B","P1370_E","P1300_B","P1300_E","P1410_B","P1410_E","P1420_B","P1420_E","P1430_B","P1430_E","P1450_B","P1450_E","P1400_B","P1400_E","P1510_B","P1510_E","P1520_B","P1520_E","P1530_B","P1530_E","P1540_B","P1540_E","P1550_B","P1550_E","P1500_B","P1500_E","P1700_B","P1700_E","P2110_B","P2110_E","P2120_B","P2120_E","P2100_B","P2100_E","P2210_B","P2210_E","P2220_B","P2220_E","P2200_B","P2200_E","P2310_B","P2310_E","P2320_B","P2320_E","P2330_B","P2330_E","P2340_B","P2340_E","P2350_B","P2350_E","P2300_B","P2300_E","P2410_B","P2410_E","P2421_B","P2421_E","P2430_B","P2430_E","P2450_B","P2450_E","P2460_B","P2460_E","P2400_B","P2400_E","BANKR"
86,0,0,0,0,0,0,0,0,1519,567,0,0,0,0,0,0,0,0,1519,567,11605,6947,0,0,32377,48109,0,0,4679,3049,0,0,48661,58105,50180,58672,13,13,0,0,0,0,12130,12130,0,0,4827,4829,16970,16972,0,0,0,0,0,0,0,0,0,0,79,0,30601,36496,0,0,2930,3641,0,0,33610,40137,50580,57109,161325,180413,164555,179054,-3230,1359,0,0,2841,2839,-6071,-1480,0,0,0,0,0,0,0,0,73,0,-6144,-1480,135,58,0,0,0,0,0,0,0,0,-6279,-1538,0
87,0,0,0,0,0,0,0,0,6092,1068,0,0,6392,45,0,0,22757,0,35241,1113,9813,0,1350,0,6525,3711,0,0,0,0,300,0,17988,3711,53229,4824,7,7,0,0,0,0,0,0,141,157,3637,3499,3785,3663,0,0,0,0,0,0,0,0,0,0,12130,0,15943,1154,20228,0,0,0,0,0,48301,1154,52086,4817,92382,0,82221,0,10161,0,0,0,9707,0,454,0,0,0,0,0,0,0,0,0,150,0,304,0,110,0,0,0,0,0,0,0,0,0,194,0,1
88,0,0,0,0,0,0,0,0,557,464,0,0,0,0,0,0,0,0,557,464,25,0,0,0,382,254,0,0,87,183,0,0,494,437,1051,901,136,136,0,0,0,0,0,0,0,0,-147,-363,-11,-227,0,0,0,0,0,0,0,0,0,0,150,150,923,977,0,0,0,0,0,0,1073,1127,1062,900,2095,2141,161,185,1934,1956,0,0,2026,2360,-92,-404,0,0,0,0,0,0,0,157,0,29,-92,-276,0,0,0,0,0,0,0,0,21,23,-113,-299,0
89,0,0,0,0,0,0,0,0,2826,2578,0,0,0,0,0,0,0,0,2826,2578,5767,0,7,0,18320,2816,0,0,255,1977,462,0,24811,4793,27637,7371,15,0,0,0,0,0,2219,0,286,0,-9788,-30386,-7268,-30386,0,35,0,0,0,0,0,0,0,35,0,0,34065,38384,0,0,0,0,0,0,34065,38384,26797,8033,27996,7321,38971,8902,-10975,-1581,0,0,0,0,-10975,-1581,0,0,0,0,0,0,4695,1485,6503,6269,-12783,-6365,0,0,0,0,0,0,0,0,0,0,-12783,-6365,0
90,0,0,0,0,0,0,0,0,2582,1749,0,0,0,0,0,0,0,0,2582,1749,23955,14310,0,0,3853,4045,0,0,7643,420,0,0,35451,18775,38033,20524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5314,0,0,0,0,0,0,0,5314,0,0,17025,9893,0,0,0,0,15683,0,32708,9893,32708,15207,57388,51859,56658,50489,730,1370,0,0,0,0,730,1370,0,0,0,0,196,716,0,0,231,213,303,441,27,25,0,0,0,0,0,0,0,0,276,416,0
91,0,0,0,0,0,0,0,0,14359,942,0,0,6462,6462,238,1869,0,0,21059,9273,4225,3630,4,11,26517,10515,0,0,58735,61515,910,1682,90391,77353,111450,86626,204,204,0,0,375,54,0,0,10,10,92365,76721,92954,76989,0,0,16,30,0,0,0,0,16,30,0,0,21453,10279,0,0,0,0,0,0,21453,10279,114423,87298,154805,163197,149642,148106,5163,15091,0,0,0,0,5163,15091,0,0,180,2097,0,0,5670,861,8958,27604,2055,-9555,1912,2299,-966,-3301,28,13,216,1704,0,0,331,-10163,0
92,0,0,0,0,0,0,0,0,21686,21904,0,0,10,10,0,0,0,0,21696,21914,11,8,0,0,2334,2546,0,0,4705,7187,0,0,7050,9741,28746,31655,7321,7321,0,0,9781,9781,6079,6079,650,650,4519,8785,28350,32616,0,0,0,0,0,0,0,0,0,0,0,0,503,195,0,0,0,0,0,0,503,195,28853,32811,16127,15230,0,0,16127,15230,0,0,10155,9102,5972,6128,0,0,0,340,0,0,3340,91,5809,1683,3503,4876,0,0,0,0,0,0,0,0,0,0,3503,4876,0
93,0,0,3,3,0,0,0,0,41750,37624,0,0,0,0,6154,5530,204,208,48111,43365,36419,48764,0,0,43083,50109,0,3037,285,127,0,0,79787,102037,127898,145402,7721,7721,0,0,0,0,280,280,530,530,73220,85500,81751,94031,11897,18558,0,0,0,0,0,0,11897,18558,1234,2305,33583,31817,0,0,10,0,0,0,34827,34122,128475,146711,233514,290948,181302,214637,52212,76311,0,0,39227,48093,12985,28218,0,0,0,0,0,0,4040,4353,9978,7256,7047,25315,2365,3232,-727,-387,0,0,483,634,0,0,5165,22717,0
94,0,0,0,0,0,0,0,0,17073,16593,0,236,0,0,2415,4066,0,0,19488,20895,6505,6743,0,0,14502,17353,0,0,384,0,0,0,21391,24096,40879,44991,5592,5592,0,0,0,0,0,0,811,811,21552,13548,27955,19951,0,0,18,6,0,0,0,0,18,6,649,117,14092,24774,0,0,0,0,0,0,14741,24891,42714,44848,17928,14678,26792,22228,-8864,-7550,0,0,0,0,-8864,-7550,0,0,0,0,0,0,36,163,1003,1659,-9831,-9046,0,0,0,0,2,0,1899,1583,0,0,-7934,-7463,0
95,0,0,0,0,0,0,0,0,13735,10884,0,0,0,0,901,890,0,0,14636,11774,13769,20546,0,0,72133,54416,0,0,2214,304,0,0,88116,75266,102752,87040,2050,2050,0,0,0,0,7558,7558,291,291,44788,43444,54687,53343,0,0,1026,1026,0,0,0,0,1026,1026,8720,2042,33349,29451,0,0,4436,0,0,0,46505,31493,102218,85862,192802,137461,183261,132666,9541,4795,0,0,0,0,9541,4795,0,0,0,0,658,939,424,142,4057,1190,5250,2808,1270,642,1,10,0,0,8,4,548,586,3440,1584,0
96,0,0,0,0,0,0,0,0,5422,4360,0,0,0,0,3,2240,0,0,5425,6600,108,573,0,0,26453,33402,12414,1496,6368,613,216,173,45559,36257,50984,42857,685,685,0,0,6876,6876,0,0,99,99,31787,3325,39447,10985,0,9513,0,0,0,0,0,0,0,9513,5893,882,6381,21786,0,0,0,0,0,0,12274,22668,51721,43166,70464,29902,13264,9086,57200,20816,0,0,51132,35714,6068,-14898,29,0,167,0,0,0,31211,10903,31685,11536,5790,-15531,409,0,-162,-61,0,0,2,2295,3219,0,2164,-13236,0
97,0,0,0,0,0,0,0,0,432,596,0,0,0,0,0,0,0,0,432,596,98,69,0,0,1241,257,0,0,2189,3188,0,0,3528,3514,3960,4110,4,4,0,0,0,0,2771,2771,0,0,1083,1113,3858,3888,0,0,0,0,0,0,0,0,0,0,0,0,94,196,0,0,0,0,0,0,94,196,3952,4084,15001,16321,15545,15602,-544,719,0,0,0,0,-544,719,0,0,0,0,0,0,2577,0,133,109,1900,610,177,189,0,0,0,0,0,0,0,0,1723,421,0
98,2498,2498,0,0,0,0,0,0,112011,107223,513692,455417,402925,387613,1319,5892,44710,15014,1077155,973657,670702,421458,3597,11829,6856252,6043379,139505,1819040,577515,321535,40324,48368,8287895,8665609,9365050,9639266,173389,173389,0,0,37556,26483,0,0,8564,8564,212457,321267,431966,529703,1417346,1463744,80045,76193,0,0,0,0,1497391,1539937,2077624,656267,5456718,7213971,0,0,20028,20896,0,0,7554370,7891134,9483727,9960774,7644813,5004171,7273839,4735304,370974,268867,0,0,0,0,370974,268867,117245,2615,19602,179309,197141,330526,1205503,810922,1509708,865566,6475,65621,794,9,-8796,-86386,40569,2701,5229,4807,2280,2042,-31939,65676,0
99,0,0,0,0,0,0,0,0,10230,8121,0,0,1,1,0,0,0,0,10231,8122,7743,5333,0,0,34731,14761,0,0,1164,1496,225,176,43863,21766,54094,29888,76,76,0,0,10403,10403,0,0,0,0,6108,4993,16587,15472,0,0,259,243,0,0,0,0,259,243,0,0,37610,13742,0,0,188,0,69,31,37867,13773,54713,29488,264240,146018,239732,132639,24508,13379,0,0,22458,12554,2050,825,0,0,0,0,4208,0,1525,5024,1457,1215,-2090,4634,158,133,130,105,20,21,0,0,0,0,-2268,4480,0
100,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
